,imdbid,title,year,imdb_rating,estimated budget,world gross,id,year_y,bechdel_rating
902,0050986,Wild Strawberries,1957,8.1,"$3,400,000 (estimated)","$7,704",2520.0,1957.0,2.0
903,0050933,Sayonara,1957,7.0,"$3,400,000 (estimated)","$7,704",2578.0,1957.0,2.0
905,0050212,The Bridge on the River Kwai,1957,8.1,"$3,000,000 (estimated)","$27,200,000",2981.0,1957.0,1.0
906,0050861,The Prince and the Showgirl,1957,6.4,"$3,000,000 (estimated)","$27,200,000",3007.0,1957.0,3.0
911,0051201,Witness for the Prosecution,1957,8.4,"$3,000,000 (estimated)","$7,693",4933.0,1957.0,1.0
912,0050251,The Mysterians,1957,6.1,"$3,000,000 (estimated)","$7,693",6624.0,1957.0,3.0
913,0050599,Kiss Them for Me,1957,5.6,"$3,000,000 (estimated)","$7,693",7017.0,1957.0,2.0
914,0050407,Forty Guns,1957,7.0,"$300,000 (estimated)","$6,344",7136.0,1957.0,2.0
923,0052357,Vertigo,1958,8.3,"$2,479,000 (estimated)","$7,798,146",609.0,1958.0,1.0
925,0052365,The Vikings,1958,7.0,"$3,500,000 (estimated)","$20,311",1255.0,1958.0,2.0
928,0051622,The Fly,1958,7.1,"$700,000 (estimated)","$1,501",2281.0,1958.0,2.0
933,0050706,Mon Oncle,1958,7.7,"FRF 250,000 (estimated)","$84,104",2823.0,1958.0,3.0
934,0052311,Touch of Evil,1958,8.0,"$829,000 (estimated)","$2,285,063",3146.0,1958.0,1.0
935,0051658,Gigi,1958,6.6,"$829,000 (estimated)","$2,285,063",3056.0,1958.0,2.0
936,0051525,The Defiant Ones,1958,7.6,"$829,000 (estimated)","$2,285,063",3238.0,1958.0,0.0
937,0051383,Auntie Mame,1958,7.9,"$829,000 (estimated)","$2,285,063",3321.0,1958.0,3.0
938,0052182,Separate Tables,1958,7.4,"$829,000 (estimated)","$2,285,063",3926.0,1958.0,3.0
939,0052225,South Pacific,1958,6.8,"$6,000,000 (estimated)","$476,564",3977.0,1958.0,3.0
943,0051579,Love Is My Profession,1958,6.7,"$750,000 (estimated)","$49,454",6938.0,1958.0,3.0
950,0052218,Some Came Running,1958,7.3,"$3,151,000 (estimated)","$28,594",10521.0,1958.0,2.0
951,0051608,The Female,1958,5.4,"$3,151,000 (estimated)","$28,594",10562.0,1958.0,2.0
952,0051818,King Creole,1958,6.9,"$3,151,000 (estimated)","$28,594",10570.0,1958.0,1.0
954,0052618,Ben-Hur,1959,8.1,"$15,000,000 (estimated)","$74,437,720",1419.0,1959.0,3.0
955,0052948,Journey to the Center of the Earth,1959,7.0,"$15,000,000 (estimated)","$74,437,720",1256.0,1959.0,1.0
956,0053131,The Nun's Story,1959,7.5,"$15,000,000 (estimated)","$74,437,720",1555.0,1959.0,3.0
958,0053291,Some Like It Hot,1959,8.2,"$2,883,848 (estimated)","$195,088",2023.0,1959.0,3.0
959,0053125,North by Northwest,1959,8.3,"$3,101,000 (estimated)","$144,767",2228.0,1959.0,1.0
960,0053318,"Suddenly, Last Summer",1959,7.5,"$3,000,000 (estimated)","$9,749",2645.0,1959.0,3.0
961,0052846,The Giant Gila Monster,1959,3.6,"$3,000,000 (estimated)","$9,749",2796.0,1959.0,3.0
981,0053285,Sleeping Beauty,1959,7.2,"$6,000,000 (estimated)","$51,600,000",,,
985,0053472,Breathless,1960,7.7,"FRF 400,000 (estimated)","$569,340",799.0,1960.0,0.0
986,0054047,The Magnificent Seven,1960,7.7,"FRF 400,000 (estimated)","$569,340",1295.0,1960.0,0.0
987,0054331,Spartacus,1960,7.9,"$12,000,000 (estimated)","$1,844,917",1273.0,1960.0,2.0
988,0053946,Inherit the Wind,1960,8.1,"$12,000,000 (estimated)","$1,844,917",1712.0,1960.0,3.0
