,title,id,imdbid,year,rating
382,Topper,1335,0029682,1937,2
383,Lost Horizon,1336,0029162,1937,2
384,"Prisoner of Zenda, The",1240,0029442,1937,1
385,Knight Without Armor,1244,0029087,1937,2
386,Parnell,1358,0029377,1937,2
387,Snow White and the Seven Dwarfs,1976,0029583,1937,3
388,A Day at the Races,2382,0028772,1937,2
389,Nothing Sacred,3968,0029322,1937,0
390,Make Way for Tomorrow,4255,0029192,1937,3
391,Murder at the Baskervilles (Silver Blaze),5617,0029565,1937,1
392,Pepe le Moko,5740,0029453,1937,2
393,"Awful Truth, The",6554,0028597,1937,3
394,"Girl Was Young, The",7317,0029811,1937,3
395,Marked Woman,7877,0029217,1937,3
396,"Bizarre, Bizarre",8473,0027552,1937,3
397,"Life of Emile Zola, The",8478,0029146,1937,1
398,Wee Willie Winkie,10352,0029751,1937,3
399,Carefree,594,0029971,1938,2
400,"Lady Vanishes, The",620,0030341,1938,3
401,Holiday,994,0030241,1938,3
402,"Dawn Patrol, The",1238,0030044,1938,0
403,Jezebel,1367,0030287,1938,2
404,"Sisters, The",1378,0030755,1938,2
405,Boys Town,2467,0029942,1938,0
406,"Mr. Wong, Detective",2590,0030473,1938,1
407,"Adventures of Robin Hood, The",3103,0029843,1938,2
408,Bluebeard&#39;s Eighth Wife,3283,0029929,1938,2
409,Bringing Up Baby,3400,0029947,1938,3
410,Four Daughters,3951,0030149,1938,3
411,"Mad Miss Manton, The",4495,0030396,1938,3
412,"Baker&#39;s Wife, The",6042,0030127,1938,1
413,Angels with Dirty Faces,7290,0029870,1938,1
414,"Wizard of Oz, The",174,0032138,1939,3
415,Gone with the Wind,291,0031381,1939,3
416,Dodge City,383,0031235,1939,2
417,"Women, The",588,0032143,1939,3
418,Stagecoach,593,0031971,1939,3
419,Wuthering Heights,1239,0032145,1939,2
420,"Goodbye, Mr. Chips",1245,0031385,1939,2
421,Ninotchka,1259,0031725,1939,3
422,Juarez,1368,0031516,1939,2
423,Dark Victory,1370,0031210,1939,3
424,Essex and Elizabeth,1371,0031826,1939,2
425,Young Mr. Lincoln,1382,0032155,1939,2
426,Jesse James,1383,0031507,1939,2
427,Drums Along the Mohawk,1384,0031252,1939,2
428,"Story of Alexander Graham Bell, The",1385,0031981,1939,2
429,"Flying Deuces, The",1973,0031322,1939,0
430,"Hunchback of Notre Dame, The",2086,0031455,1939,0
431,At the Circus,2372,0031060,1939,2
432,"Gorilla, The",2555,0031387,1939,3
433,Mr. Wong in Chinatown,2622,0031680,1939,1
434,Of Mice and Men,2851,0031742,1939,1
435,"Rules of the Game, The",3089,0031885,1939,3
436,Babes in Arms,3723,0031066,1939,3
437,Destry Rides Again,5634,0031225,1939,3
438,Nancy Drew... Reporter,5763,0031709,1939,3
439,"Adventures of Sherlock Holmes, The",5863,0031022,1939,3
440,Mr. Smith Goes to Washington,5946,0031679,1939,2
441,Jamaica Inn,7322,0031505,1939,3
442,Le jour se l&egrave;ve,8098,0031514,1939,2
443,Gulliver&#39;s Travels,8511,0031397,1939,0
444,Love Affair,9038,0031593,1939,3
445,Pinocchio,478,0032910,1940,1
446,Rebecca,618,0032976,1940,3
447,"Thief of Bagdad, The",1265,0033152,1940,0
448,"Mortal Storm, The",1501,0032811,1940,3
449,Comrade X,1355,0032349,1940,2
450,Boom Town,1356,0032273,1940,1
451,Strange Cargo,1357,0033105,1940,0
452,"Return of Frank James, The",1366,0032983,1940,0
453,"All This, and Heaven Too",1373,0032194,1940,2
454,"Letter, The",1380,0032701,1940,2
455,"Grapes of Wrath, The",1387,0032551,1940,3
456,A Chump at Oxford,1975,0032339,1940,0
457,"Ape, The",2556,0032215,1940,3
458,Santa Fe Trail,2678,0033021,1940,1
459,His Girl Friday,3033,0032599,1940,3
460,"Sea Hawk, The",3050,0033028,1940,3
461,"Great Dictator, The",3470,0032553,1940,3
462,Pride and Prejudice,4257,0032943,1940,3
463,Primrose Path,4354,0032946,1940,3
464,Chamber of Horrors / Door with the Seven Locks,4363,0032406,1940,2
465,"Dance, Girl, Dance",4415,0032376,1940,3
466,"Philadelphia Story, The",4943,0032904,1940,3
467,Fantasia,5039,0032455,1940,0
468,Anne Of Windy Poplars,5320,0032211,1940,3
469,Gaslight,5773,0031359,1940,3
470,"Last Alarm, The",5802,0032690,1940,3
471,Foreign Correspondent,7311,0032484,1940,1
472,"Shop Around the Corner, The",7861,0033045,1940,3
473,Knute Rockne All American,8480,0032676,1940,1
474,Two-Faced Woman,1331,0034328,1941,2
475,"Shanghai Gesture, The",1512,0034175,1941,3
476,"Maltese Falcon, The",1230,0033870,1941,1
477,Citizen Kane,1266,0033467,1941,1
478,Dumbo,1117,0033563,1941,2
479,"Little Foxes, The",1372,0033836,1941,2
480,"Lady Eve, The",1386,0033804,1941,2
481,"Devil and Miss Jones, The",1682,0033533,1941,3
482,Mr. Bug Goes to Town,1941,0033727,1941,1
483,High Sierra,2410,0033717,1941,1
484,"Wolf Man, The",2436,0034398,1941,2
485,Cheers for Miss Bishop,2446,0033459,1941,3
486,Men of Boys Town,2468,0033902,1941,1
487,49th Parallel,2867,0033627,1941,0
488,Buck Privates,2906,0033436,1941,3
489,Hold That Ghost,2910,0033723,1941,3
490,Meet John Doe,3717,0033891,1941,3
491,Sullivan&#39;s Travels,4359,0034240,1941,3
492,Murder by Invitation,6171,0033928,1941,3
493,Ladies In Retirement,6318,0033802,1941,1
494,Suspicion,7329,0034248,1941,3
